elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
67430.001488, 10.000273, 36, 9444, 16582.4, 16625, 22002, 23335, 23335, 23335, 0
67440.001627, 10.000139, 37, 9867, 16143.0, 14938, 23563, 31358, 31358, 31358, 0
67450.001378, 9.999751, 44, 7614, 15672.9, 14960, 20676, 40261, 40261, 40261, 0
67460.001446, 10.000068, 36, 10121, 16406.8, 15658, 23258, 25038, 25038, 25038, 0
67470.001209, 9.999763, 42, 9843, 16335.0, 16244, 22318, 27571, 27571, 27571, 0
67480.001228, 10.000019, 51, 9286, 16687.8, 16069, 23456, 25459, 28209, 28209, 0
67490.00161, 10.000382, 33, 11367, 17041.6, 16585, 23398, 27200, 27200, 27200, 0
67500.00127, 9.99966, 45, 11713, 17448.6, 15918, 28490, 34261, 34261, 34261, 0
67510.001232, 9.999962, 41, 12031, 16920.0, 15234, 25259, 27572, 27572, 27572, 0
67520.002609, 10.001377, 35, 8216, 15335.1, 14753, 21641, 24472, 24472, 24472, 0
67530.001342, 9.998733, 38, 7692, 17122.4, 17526, 23575, 26510, 26510, 26510, 0
67540.002746, 10.001404, 33, 11411, 15999.4, 14739, 22518, 27643, 27643, 27643, 0
67550.001225, 9.998479, 38, 9529, 17052.2, 16229, 25695, 29266, 29266, 29266, 0
67560.002026, 10.000801, 53, 8318, 15390.8, 14696, 21342, 21665, 22282, 22282, 0
67570.001616, 9.99959, 44, 9682, 15450.6, 14731, 22282, 25887, 25887, 25887, 0
67580.001378, 9.999762, 36, 9823, 16214.6, 15111, 24177, 37462, 37462, 37462, 0
67590.001266, 9.999888, 48, 7915, 15609.5, 14648, 24633, 25964, 26267, 26267, 0
67600.001239, 9.999973, 38, 11111, 16917.8, 15901, 23898, 28545, 28545, 28545, 0
67610.001226, 9.999987, 29, 12744, 17250.5, 16267, 24846, 25508, 25508, 25508, 0
67620.001467, 10.000241, 38, 9292, 15763.8, 15690, 20238, 29041, 29041, 29041, 0
67630.001205, 9.999738, 36, 7612, 16253.5, 16051, 24738, 29785, 29785, 29785, 0
67640.001321, 10.000116, 37, 10541, 16278.1, 15912, 22499, 24841, 24841, 24841, 0
67650.001709, 10.000388, 35, 10579, 15687.7, 15298, 21543, 23695, 23695, 23695, 0
67660.001437, 9.999728, 33, 10094, 15747.6, 15040, 21126, 23674, 23674, 23674, 0
67670.001285, 9.999848, 39, 8694, 16018.7, 15688, 20383, 25048, 25048, 25048, 0
67680.00128, 9.999995, 44, 9231, 15455.3, 14466, 22150, 24649, 24649, 24649, 0
67690.002297, 10.001017, 32, 7105, 16624.0, 15498, 22255, 37192, 37192, 37192, 0
67700.001339, 9.999042, 41, 9481, 16576.5, 16523, 23337, 28006, 28006, 28006, 0
67710.001399, 10.00006, 36, 10458, 16340.3, 15808, 23243, 24482, 24482, 24482, 0
67720.001941, 10.000542, 37, 8567, 16100.6, 14911, 23315, 43083, 43083, 43083, 0
67730.001741, 9.9998, 39, 8125, 15843.3, 14996, 21464, 28016, 28016, 28016, 0
67740.002249, 10.000508, 33, 8599, 16480.4, 15766, 20706, 23118, 23118, 23118, 0
67750.00121, 9.998961, 38, 8577, 15629.2, 15816, 20518, 26240, 26240, 26240, 0
67760.001414, 10.000204, 37, 10926, 16947.2, 15899, 24039, 35938, 35938, 35938, 0
67770.001418, 10.000004, 49, 7778, 16086.9, 14895, 24668, 29060, 29060, 29060, 0
67780.001359, 9.999941, 50, 8869, 16654.4, 15122, 24252, 29060, 36715, 36715, 0
67790.001367, 10.000008, 35, 9261, 16753.5, 15420, 23456, 25384, 25384, 25384, 0
67800.001183, 9.999816, 42, 8511, 16143.3, 15836, 21721, 24013, 24013, 24013, 0
67810.001577, 10.000394, 28, 11960, 17385.6, 16864, 23279, 28859, 28859, 28859, 0
67820.001824, 10.000247, 40, 9895, 16871.7, 15277, 24289, 31834, 31834, 31834, 0
67830.001234, 9.99941, 27, 8543, 16614.3, 15142, 25495, 33063, 33063, 33063, 0
67840.001207, 9.999973, 30, 12429, 17783.2, 16790, 24148, 29258, 29258, 29258, 0
67850.003017, 10.00181, 35, 9886, 16438.7, 15305, 22061, 28255, 28255, 28255, 0
67860.002057, 9.99904, 40, 11045, 15363.0, 15032, 19504, 25505, 25505, 25505, 0
67870.001886, 9.999829, 34, 10481, 16535.0, 15575, 21960, 28569, 28569, 28569, 0
67880.002147, 10.000261, 45, 9516, 16399.7, 16487, 24876, 32510, 32510, 32510, 0
67890.000452, 9.998305, 42, 10158, 16755.3, 15615, 24877, 35228, 35228, 35228, 0
67900.001266, 10.000814, 40, 10792, 16077.3, 15238, 22867, 25982, 25982, 25982, 0
67910.00189, 10.000624, 46, 9559, 16045.9, 15207, 25655, 34823, 34823, 34823, 0
67920.001194, 9.999304, 36, 10147, 16723.0, 15351, 25655, 31033, 31033, 31033, 0
67930.00171, 10.000516, 51, 9610, 16309.4, 15946, 22999, 24005, 24265, 24265, 0
67940.00438, 10.00267, 36, 7822, 16917.6, 15978, 24206, 27221, 27221, 27221, 0
67950.001345, 9.996965, 46, 7822, 16188.9, 15607, 25337, 35693, 35693, 35693, 0
67960.001207, 9.999862, 43, 8719, 15799.4, 15505, 19870, 22313, 22313, 22313, 0
67970.001453, 10.000246, 38, 9142, 17507.1, 16507, 26684, 34955, 34955, 34955, 0
67980.00125, 9.999797, 44, 5912, 16243.1, 15915, 23960, 25534, 25534, 25534, 0
67990.001171, 9.999921, 37, 9112, 16423.1, 16179, 22070, 31079, 31079, 31079, 0
68000.001524, 10.000353, 38, 8976, 14948.6, 14844, 20093, 21653, 21653, 21653, 0
68010.002323, 10.000799, 45, 9164, 15526.9, 14691, 22475, 30440, 30440, 30440, 0
68020.001477, 9.999154, 42, 7817, 16089.3, 15721, 23353, 32275, 32275, 32275, 0
68030.00175, 10.000273, 31, 10877, 16428.2, 16341, 20441, 21592, 21592, 21592, 0
68040.001546, 9.999796, 46, 9708, 16340.0, 15313, 22822, 34659, 34659, 34659, 0
68050.002568, 10.001022, 38, 9709, 16419.0, 15348, 24246, 30905, 30905, 30905, 0
68060.001227, 9.998659, 40, 6945, 15327.1, 15221, 23144, 26781, 26781, 26781, 0
68070.001413, 10.000186, 39, 7102, 16815.2, 14800, 25529, 33315, 33315, 33315, 0
68080.001242, 9.999829, 37, 7102, 15041.8, 14793, 19895, 24457, 24457, 24457, 0
68090.003354, 10.002112, 37, 9843, 15397.1, 15308, 20240, 25249, 25249, 25249, 0
68100.001548, 9.998194, 45, 11937, 16495.9, 15808, 20924, 24308, 24308, 24308, 0
68110.001368, 9.99982, 33, 8845, 17650.5, 15808, 25692, 53609, 53609, 53609, 0
68120.001675, 10.000307, 46, 9393, 16643.7, 16647, 22519, 33018, 33018, 33018, 0
68130.001277, 9.999602, 41, 9174, 15601.5, 15562, 20171, 23768, 23768, 23768, 0
68140.001901, 10.000624, 32, 8391, 16564.8, 16289, 21931, 38829, 38829, 38829, 0
