datetime	delete	offset	cap	key1	key2
2014/9/18 3:47	 	2630492801	787KB	95110	95110
2014/9/18 3:47	 	2638961114	12KB	95114	95114
2014/9/18 3:47	 	2653142083	4KB	95123	95123
2014/9/18 3:47	 	2655982768	345KB	95124	95124
2014/9/18 3:47	 	2661482821	1391KB	95127	95127
2014/9/18 3:47	 	2664238764	467KB	95128	95128
2014/9/18 3:47	 	2700717074	247KB	95147	95147
2014/9/18 3:47	 	2735676699	81KB	95171	95171
2014/9/18 3:47	 	2738294736	178KB	95172	95172
2014/9/18 3:47	 	2759975262	1195KB	95188	95188
2014/9/18 3:47	 	2771188007	7KB	95199	95199
2014/9/18 3:47	 	2791548407	217KB	95212	95212
2014/9/18 3:47	 	2795094969	56KB	95214	95214
2014/9/18 3:47	 	2804119236	4KB	95218	95218
2014/9/18 3:47	 	2849255296	857KB	95267	95267
2014/9/18 3:47	 	2849346536	88KB	95268	95268
2014/9/18 3:47	 	2849606207	42KB	95272	95272
2014/9/18 3:47	 	18180213	481KB	95289	95289
2014/9/18 3:47	 	36664021	69KB	95305	95305
2014/9/18 3:47	 	54229557	544KB	95316	95316
2014/9/18 3:47	 	60939945	643KB	95321	95321
2014/9/18 3:47	 	68518055	14KB	95326	95326
2014/9/18 3:47	 	105027231	128KB	95346	95346
2014/9/18 3:47	 	112054759	916KB	95350	95350
2014/9/18 3:47	 	125877588	86KB	95361	95361
2014/9/18 3:47	 	131875791	1236KB	95365	95365
2014/9/18 3:47	 	140018590	41KB	95372	95372
2014/9/18 3:47	 	150276991	704KB	95376	95376
2014/9/18 3:47	 	180655639	63KB	95388	95388
2014/9/18 3:47	 	210039100	140KB	95403	95403
2014/9/18 3:47	 	218865168	91KB	95406	95406
2014/9/18 3:47	 	222650062	695KB	95408	95408
2014/9/18 3:47	 	238039344	854KB	95415	95415
2014/9/18 3:47	 	279543707	49KB	95438	95438
2014/9/18 3:47	 	304642873	331KB	95453	95453
2014/9/18 3:47	 	310483421	624KB	95454	95454
2014/9/18 3:47	 	313508550	586KB	95455	95455
2014/9/18 3:47	 	329818955	92KB	95462	95462
2014/9/18 3:47	 	342016088	231KB	95470	95470
2014/9/18 3:47	 	354494899	173KB	95476	95476
2014/9/18 3:47	 	369189260	25KB	95488	95488
2014/9/18 3:47	 	383060583	3KB	95501	95501
2014/9/18 3:47	 	420551326	42KB	95518	95518
2014/9/18 3:47	 	427686971	59KB	95522	95522
2014/9/18 3:47	 	435043060	1326KB	95529	95529
2014/9/18 3:47	 	454968918	90KB	95546	95546
2014/9/18 3:47	 	485197613	62KB	95562	95562
2014/9/18 3:47	 	506530226	1329KB	95572	95572
2014/9/18 3:47	 	547574826	3KB	95601	95601
2014/9/18 3:47	 	582203632	35KB	95624	95624
2014/9/18 3:47	 	596691187	63KB	95632	95632
2014/9/18 3:47	 	724652401	10KB	95704	95704
2014/9/18 3:47	 	771117316	3KB	95728	95728
2014/9/18 3:47	 	817971461	251KB	95755	95755
2014/9/18 3:47	 	827873696	478KB	95758	95758
2014/9/18 3:47	 	829937453	5KB	95759	95759
2014/9/18 3:47	 	838745897	41KB	95763	95763
2014/9/18 3:47	 	858942495	28KB	95778	95778
2014/9/18 3:47	 	884132076	145KB	95793	95793
2014/9/18 3:47	 	928083992	4KB	95815	95815
2014/9/18 3:47	 	938723914	130KB	95820	95820
2014/9/18 3:47	 	962890586	765KB	95831	95831
2014/9/18 3:47	 	978851278	15KB	95840	95840
2014/9/18 3:47	 	1032851195	7KB	95870	95870
2014/9/18 3:47	 	1070959718	90KB	95884	95884
2014/9/18 3:47	 	1126624723	8KB	95914	95914
2014/9/18 3:47	 	1131075620	1132KB	95915	95915
2014/9/18 3:47	 	1135363196	491KB	95919	95919
2014/9/18 3:47	 	1147292558	548KB	95925	95925
2014/9/18 3:47	 	1179079230	3KB	95946	95946
2014/9/18 3:47	 	1213790689	771KB	95961	95961
2014/9/18 3:47	 	1218099935	423KB	95963	95963
2014/9/18 3:47	 	1222133302	456KB	95964	95964
2014/9/18 3:47	 	1290306272	1385KB	95998	95998
2014/9/18 3:47	 	1293553665	364KB	96002	96002
2014/9/18 3:47	 	1311211298	19KB	96012	96012
2014/9/18 3:47	 	1319489886	184KB	96016	96016
2014/9/18 3:47	 	1352114232	248KB	96042	96042
2014/9/18 3:47	 	1370573436	10KB	96047	96047
2014/9/18 3:47	 	1415310981	1241KB	96075	96075
2014/9/18 3:47	 	1430707531	103KB	96081	96081
2014/9/18 3:47	 	1455846468	45KB	96092	96092
2014/9/18 3:47	 	1476222194	48KB	96105	96105
2014/9/18 3:47	 	1527720540	8KB	96123	96123
2014/9/18 3:47	 	1570921105	95KB	96152	96152
2014/9/18 3:47	 	1606128510	64KB	96169	96169
2014/9/18 3:47	 	1613003614	6KB	96173	96173
2014/9/18 3:47	 	1639239271	65KB	96194	96194
2014/9/18 3:47	 	1649747171	9KB	96197	96197
2014/9/18 3:47	 	1745613204	841KB	96238	96238
2014/9/18 3:47	 	1755755313	448KB	96242	96242
2014/9/18 3:47	 	1757663647	129KB	96245	96245
2014/9/18 3:47	 	1806310234	2KB	96271	96271
2014/9/18 3:47	 	1813561518	432KB	96276	96276
2014/9/18 3:47	 	1842619476	787KB	96291	96291
2014/9/18 3:47	 	1863258451	1073KB	96299	96299
2014/9/18 3:47	 	1869833877	236KB	96303	96303
2014/9/18 3:47	 	1913655151	304KB	96325	96325
2014/9/18 3:47	 	1986282173	7KB	96362	96362
2014/9/18 3:47	 	2076652670	40KB	96407	96407
2014/9/18 3:47	 	2084753339	368KB	96412	96412
2014/9/18 3:47	 	2094670209	8KB	96423	96423
2014/9/18 3:47	 	2099368773	571KB	96427	96427
2014/9/18 3:47	 	2127903726	5KB	96443	96443
2014/9/18 3:47	 	2272953040	261KB	96507	96507
2014/9/18 3:47	 	2283900128	148KB	96511	96511
2014/9/18 3:47	 	2341791305	1323KB	96546	96546
2014/9/18 3:47	 	2346995021	4KB	96548	96548
2014/9/18 3:47	 	2352952714	96KB	96553	96553
2014/9/18 3:47	 	2382064204	9KB	96576	96576
2014/9/18 3:47	 	2387768881	646KB	96581	96581
2014/9/18 3:47	 	2389309709	6KB	96583	96583
2014/9/18 3:47	 	2396620298	1511KB	96588	96588
2014/9/18 3:47	 	2448973313	90KB	96610	96610
2014/9/18 3:47	 	2522277182	52KB	96656	96656
2014/9/18 3:47	 	2532826944	592KB	96663	96663
2014/9/18 3:47	 	2532833773	6KB	96664	96664
2014/9/18 3:47	 	2536637680	792KB	96665	96665
